customer_id,name,email,phone_number,signup_date
1,Wendy Nguyen,stevenbarrett@example.org,001-745-612-0840x46464,2023-08-21
2,Amanda Hudson,ecunningham@example.org,2598967810,2023-12-28
3,Alicia Morrison,hodgeskevin@example.org,490.446.7859x567,2025-02-22
4,Timothy Dominguez,danieljohnson@example.net,(427)632-0622x25995,2024-08-26
5,Kenneth Brown,vyoder@example.com,+1-630-391-4688,2024-05-21
6,Shawn Matthews,barrsabrina@example.com,+1-572-700-1491x59867,2024-04-28
7,Kim Henry,weberdanny@example.net,9307324999,2024-04-07
8,Bryan Hernandez,jeffrey72@example.org,356.741.3384,2022-12-09
9,Mr. Joseph Jackson MD,woodpaul@example.com,001-597-366-7252,2023-09-04
10,Virginia Smith,jennifer96@example.org,805.859.3935,2024-01-05
11,Julia Ochoa,simpsonkim@example.com,858.835.2962x8922,2024-04-14
12,Kenneth Barnett MD,jessicafarmer@example.org,001-274-432-7497,2023-07-01
13,Megan Tucker,samuel50@example.com,2286498022,2025-01-27
14,Glenn Jacobs,wkeith@example.com,(413)586-3001x1028,2024-12-01
15,Stephanie Peterson,frankgordon@example.com,980-448-3194,2025-02-07
16,Olivia Alexander,tvincent@example.org,799-261-0223,2022-04-04
17,Charles Moody,currysarah@example.org,001-365-767-5506x20434,2022-09-12
18,Bonnie Smith,pwong@example.com,814.957.4535x27815,2024-07-04
19,Jesse Vazquez,qrobertson@example.org,+1-881-430-9747x99968,2023-02-20
20,Joseph Robinson,christopherwheeler@example.net,001-317-404-0559x90014,2025-02-23
21,Charles Rivera,michaelcochran@example.com,232-543-2146,2024-05-13
22,John Baxter,james59@example.org,(939)208-2930x9645,2023-12-10
23,Brian Johnson,lsanchez@example.net,230.600.4392x462,2023-01-19
24,Amy Hernandez,hrussell@example.com,+1-841-828-8282x34877,2022-12-20
25,Tina Cruz,saundersclayton@example.com,938-296-6290x986,2023-02-21
26,Michael Rangel,mallory85@example.net,(361)406-3746,2025-03-13
27,Laurie Weaver,ffoster@example.net,854.938.4771x3056,2024-11-19
28,Stephanie Ray,ericlucas@example.com,781.904.3787x8782,2024-09-09
29,Samantha Nguyen,glengrant@example.org,+1-836-352-9333x5294,2022-05-05
30,Stephanie English,marcus07@example.net,600-947-0973x083,2022-04-28
31,Andrew Acosta,raymond82@example.com,001-524-554-9915x4627,2023-07-15
32,Daniel Glass,fdaniel@example.net,565.393.0376x694,2024-05-26
33,Amy Smith,hebertdaniel@example.org,001-629-799-0891x1845,2024-11-10
